latitude,longitude,timestamp,unit
40.59338,-74.22731,2023-12-10T08:23:48Z,2000
40.59332,-74.22733,2023-12-10T08:23:48Z,2000
40.59326,-74.22736,2023-12-10T08:23:49Z,2000
40.5932,-74.2274,2023-12-10T08:23:49Z,2000
40.59314,-74.22745,2023-12-10T08:23:50Z,2000
40.59309,-74.2275,2023-12-10T08:23:50Z,2000
40.59305,-74.22755,2023-12-10T08:23:50Z,2000
40.59301,-74.22761,2023-12-10T08:23:51Z,2000
40.59297,-74.22769,2023-12-10T08:23:51Z,2000
40.59294,-74.22777,2023-12-10T08:23:52Z,2000
40.59291,-74.22787,2023-12-10T08:23:52Z,2000
40.5929,-74.22797,2023-12-10T08:23:53Z,2000
40.59288,-74.22809,2023-12-10T08:23:53Z,2000
40.59288,-74.2282,2023-12-10T08:23:54Z,2000
40.59288,-74.22833,2023-12-10T08:23:55Z,2000
40.59288,-74.22846,2023-12-10T08:23:55Z,2000
40.5929,-74.22859,2023-12-10T08:23:56Z,2000
40.59293,-74.22872,2023-12-10T08:23:57Z,2000
40.59296,-74.22886,2023-12-10T08:23:57Z,2000
40.593,-74.229,2023-12-10T08:23:58Z,2000
40.59304,-74.22912,2023-12-10T08:23:59Z,2000
40.59308,-74.22922,2023-12-10T08:23:59Z,2000
40.59316,-74.22941,2023-12-10T08:24:00Z,2000
40.59324,-74.2296,2023-12-10T08:24:02Z,2000
40.59328,-74.22969,2023-12-10T08:24:02Z,2000
40.59331,-74.22976,2023-12-10T08:24:02Z,2000
40.59338,-74.22989,2023-12-10T08:24:03Z,2000
40.59343,-74.23001,2023-12-10T08:24:04Z,2000
40.59347,-74.23009,2023-12-10T08:24:04Z,2000
40.59349,-74.23013,2023-12-10T08:24:05Z,2000
40.5937,-74.23052,2023-12-10T08:24:07Z,2000
40.59373,-74.23058,2023-12-10T08:24:07Z,2000
40.59376,-74.23064,2023-12-10T08:24:08Z,2000
40.59382,-74.23076,2023-12-10T08:24:09Z,2000
40.59389,-74.2309,2023-12-10T08:24:09Z,2000
40.59396,-74.23106,2023-12-10T08:24:10Z,2000
40.59416,-74.23158,2023-12-10T08:24:13Z,2000
40.59416,-74.23158,2023-12-10T08:24:13Z,2000
40.59437,-74.23202,2023-12-10T08:24:16Z,2000
40.59448,-74.23221,2023-12-10T08:24:17Z,2000
40.59448,-74.23221,2023-12-10T08:24:17Z,2000
40.59459,-74.23239,2023-12-10T08:24:18Z,2000
40.59467,-74.23251,2023-12-10T08:24:19Z,2000
40.59474,-74.23261,2023-12-10T08:24:20Z,2000
40.59488,-74.23274,2023-12-10T08:24:21Z,2000
40.595,-74.23284,2023-12-10T08:24:22Z,2000
40.59512,-74.23292,2023-12-10T08:24:23Z,2000
40.59523,-74.23297,2023-12-10T08:24:24Z,2000
40.59535,-74.233,2023-12-10T08:24:24Z,2000
40.59546,-74.23301,2023-12-10T08:24:25Z,2000
40.59556,-74.233,2023-12-10T08:24:26Z,2000
40.59566,-74.23297,2023-12-10T08:24:26Z,2000
40.59578,-74.23291,2023-12-10T08:24:27Z,2000
40.59594,-74.23282,2023-12-10T08:24:28Z,2000
40.59651,-74.23245,2023-12-10T08:24:33Z,2000
40.59677,-74.2323,2023-12-10T08:24:35Z,2000
40.59699,-74.23217,2023-12-10T08:24:36Z,2000
40.59719,-74.23206,2023-12-10T08:24:38Z,2000
40.59827,-74.23149,2023-12-10T08:24:45Z,2000
40.59955,-74.23085,2023-12-10T08:24:55Z,2000
40.60055,-74.23027,2023-12-10T08:25:02Z,2000
40.60082,-74.23012,2023-12-10T08:25:04Z,2000
40.60367,-74.22843,2023-12-10T08:25:25Z,2000
40.60503,-74.2276,2023-12-10T08:25:35Z,2000
40.6074,-74.22617,2023-12-10T08:25:52Z,2000
40.6078,-74.22592,2023-12-10T08:25:55Z,2000
40.61009,-74.22454,2023-12-10T08:26:12Z,2000
40.61141,-74.22374,2023-12-10T08:26:22Z,2000
40.61614,-74.22088,2023-12-10T08:26:56Z,2000
40.61625,-74.22081,2023-12-10T08:26:57Z,2000
40.61923,-74.21901,2023-12-10T08:27:19Z,2000
40.61923,-74.21901,2023-12-10T08:27:19Z,2000
40.61923,-74.21901,2023-12-10T08:27:19Z,2000
40.62259,-74.21697,2023-12-10T08:27:44Z,2000
40.62287,-74.2168,2023-12-10T08:27:46Z,2000
40.62287,-74.2168,2023-12-10T08:27:46Z,2000
40.62379,-74.21623,2023-12-10T08:27:52Z,2000
40.62583,-74.21502,2023-12-10T08:28:07Z,2000
40.62785,-74.21381,2023-12-10T08:28:22Z,2000
40.6285,-74.2134,2023-12-10T08:28:27Z,2000
40.62892,-74.21312,2023-12-10T08:28:30Z,2000
40.62962,-74.21267,2023-12-10T08:28:35Z,2000
40.63106,-74.21173,2023-12-10T08:28:46Z,2000
40.63141,-74.21151,2023-12-10T08:28:49Z,2000
40.63204,-74.2111,2023-12-10T08:28:53Z,2000
40.63288,-74.21058,2023-12-10T08:29:00Z,2000
40.63568,-74.20886,2023-12-10T08:29:20Z,2000
40.63663,-74.20829,2023-12-10T08:29:27Z,2000
40.63799,-74.20754,2023-12-10T08:29:37Z,2000
40.63902,-74.20697,2023-12-10T08:29:44Z,2000
40.63989,-74.20647,2023-12-10T08:29:51Z,2000
40.64086,-74.2059,2023-12-10T08:29:58Z,2000
40.6417,-74.20538,2023-12-10T08:30:04Z,2000
40.64332,-74.20438,2023-12-10T08:30:16Z,2000
40.64493,-74.20336,2023-12-10T08:30:28Z,2000
40.64557,-74.20294,2023-12-10T08:30:33Z,2000
40.64724,-74.20188,2023-12-10T08:30:45Z,2000
40.64758,-74.20164,2023-12-10T08:30:48Z,2000
40.6479,-74.2014,2023-12-10T08:30:50Z,2000
40.64818,-74.20117,2023-12-10T08:30:52Z,2000
40.6485,-74.20086,2023-12-10T08:30:55Z,2000
40.64881,-74.20054,2023-12-10T08:30:57Z,2000
40.64896,-74.20037,2023-12-10T08:30:59Z,2000
40.64914,-74.20017,2023-12-10T08:31:00Z,2000
40.64941,-74.19982,2023-12-10T08:31:03Z,2000
40.64967,-74.19944,2023-12-10T08:31:05Z,2000
40.64992,-74.19905,2023-12-10T08:31:08Z,2000
40.65013,-74.19868,2023-12-10T08:31:10Z,2000
40.65033,-74.19832,2023-12-10T08:31:13Z,2000
40.65113,-74.19687,2023-12-10T08:31:22Z,2000
40.65137,-74.19643,2023-12-10T08:31:24Z,2000
40.65157,-74.19605,2023-12-10T08:31:27Z,2000
40.65183,-74.19558,2023-12-10T08:31:30Z,2000
40.65202,-74.19523,2023-12-10T08:31:32Z,2000
40.65224,-74.19483,2023-12-10T08:31:34Z,2000
40.65244,-74.19447,2023-12-10T08:31:37Z,2000
40.65265,-74.19407,2023-12-10T08:31:39Z,2000
40.65285,-74.1937,2023-12-10T08:31:41Z,2000
40.65307,-74.19332,2023-12-10T08:31:44Z,2000
40.65327,-74.19294,2023-12-10T08:31:46Z,2000
40.65348,-74.19256,2023-12-10T08:31:49Z,2000
40.65369,-74.19217,2023-12-10T08:31:51Z,2000
40.65389,-74.1918,2023-12-10T08:31:53Z,2000
40.65415,-74.19132,2023-12-10T08:31:56Z,2000
40.65432,-74.19101,2023-12-10T08:31:58Z,2000
40.65458,-74.19057,2023-12-10T08:32:01Z,2000
40.65484,-74.19017,2023-12-10T08:32:04Z,2000
40.65508,-74.18983,2023-12-10T08:32:06Z,2000
